lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015,16-07-2015,17-07-2015,18-07-2015,19-07-2015,20-07-2015,21-07-2015,22-07-2015,23-07-2015,24-07-2015,25-07-2015,26-07-2015,27-07-2015,28-07-2015,29-07-2015,30-07-2015
26.92,88.92,282.0,4.685139656,245.9716797,26.2,63.2,22.0,63.2,7.0,16.6,0.0,33.0,0.0,19.6,11.2,20.0,2.0,66.8,110.4,53.5,44.1,23.5,23.9,17.3,9.3,21.4,19.5,47.3,41.6,12.5,3.8,35.7,30.7,16.8
26.92,95.27,820.0,13.99299145,206.77948,0.0,0.8,0.2,19.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,35.0,0.6,30.6,10.8,4.2,5.0,92.9,27.9,11.8,7.5,2.5,0.8,0.2,0.1,1.0,1.3,97.9,52.3
26.93,88.7,275.0,3.976606607,99.20764923,282.0,0.0,64.2,69.0,18.1,28.0,0.0,55.0,0.0,89.0,0.0,105.0,28.5,3.2,81.0,24.3,7.3,46.4,13.9,4.2,98.7,89.8,26.9,32.0,31.3,9.4,100.3,40.4,51.8,22.8
26.93,93.97,83.0,0.478842914,48.28111267,0.0,1.6,6.0,10.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,69.2,20.8,6.2,1.9,0.6,0.2,0.1,0.0,18.4,5.5,1.6,3.0,0.9,0.3,0.1,22.0
26.98,94.62,97.0,0.957856357,131.7062225,0.0,0.0,0.0,24.2,38.4,0.0,0.0,0.0,0.0,11.4,0.0,8.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.1,0.6,6.1,1.8,0.5,0.2,0.1,9.1,2.7,0.8
26.98,94.63,97.0,1.193728566,323.2003174,5.2,3.2,2.8,14.2,51.8,0.0,12.6,0.0,0.0,0.2,0.0,0.0,0.0,0.4,46.4,13.9,5.8,1.7,98.0,37.2,12.7,3.8,3.6,1.1,0.3,5.9,4.4,15.6,4.7,1.4
27.05,88.27,2029.0,21.55064392,39.23506165,50.0,18.0,0.0,3.0,31.8,8.0,4.0,74.1,0.0,71.4,115.3,0.0,4.4,1.4,45.2,15.6,29.1,15.2,4.6,92.1,34.3,10.3,6.7,2.0,3.4,1.0,79.9,70.6,42.8,21.4
27.05,92.7,306.0,15.08276844,147.7941132,0.0,14.0,21.4,4.6,125.8,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,29.2,115.8,37.8,11.3,3.4,1.0,14.9,5.7,1.7,0.5,12.2,3.7,2.0,96.2,28.9,106.1,31.8
27.07,88.47,1191.0,7.807373047,223.1022034,137.0,0.0,9.0,0.0,4.0,11.0,10.0,93.0,0.0,10.0,63.0,0.0,0.0,0.0,55.0,114.0,48.1,14.4,4.3,1.3,22.2,83.3,35.1,10.5,3.2,9.4,8.9,2.7,6.7,10.9
27.08,88.58,1155.0,21.39384842,173.5918274,111.0,0.2,48.0,0.1,10.0,20.0,37.0,62.0,27.0,37.0,34.0,2.0,0.0,0.1,39.0,109.2,76.6,23.0,9.4,3.2,1.0,3.1,98.4,29.5,13.4,4.7,6.9,99.5,76.9,45.8
27.08,93.62,270.0,19.92683601,169.0741882,2.0,15.6,34.2,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,66.0,19.8,103.4,38.6,11.6,3.5,1.0,31.8,9.5,2.8,0.8,17.6,5.3,22.2,6.7
27.1,93.62,332.0,4.654193878,266.0826111,3.8,17.5,64.3,45.2,19.0,0.0,0.0,6.7,0.1,0.3,0.3,0.0,0.0,6.6,230.0,70.7,21.4,103.9,31.2,9.5,2.8,1.1,0.5,3.5,98.5,29.6,8.9,2.7,0.8,18.1
27.12,88.23,417.0,19.81758499,188.978302,36.6,2.8,11.2,3.2,11.8,1.6,9.4,28.0,1.2,21.8,69.0,0.0,3.0,2.2,25.8,43.3,13.9,7.6,8.2,2.5,2.1,0.8,13.4,4.0,12.5,4.7,6.7,43.0,27.9,8.4
27.12,92.12,1407.0,34.43376541,210.6917877,1.8,0.0,1.0,2.4,6.0,10.8,16.0,5.8,0.0,7.6,20.1,18.2,0.0,1.4,43.0,12.9,4.2,1.8,6.6,7.7,3.8,4.5,3.2,12.0,13.8,19.9,6.0,6.0,20.6,6.2
27.18,88.5,336.0,24.64181137,36.8486557,2.0,69.2,0.8,0.8,41.6,7.0,15.0,10.2,24.8,49.8,0.0,0.0,0.6,47.0,7.8,2.3,2.6,4.3,7.3,53.2,22.4,11.1,5.6,5.7,3.0,55.2,54.6,23.6,8.5,5.4
27.23,88.38,2001.0,35.2512207,137.0418243,68.2,18.2,71.0,55.8,24.0,43.8,52.8,30.6,31.0,42.0,79.6,0.0,21.6,47.8,30.6,46.5,53.1,40.6,12.2,3.7,12.2,26.9,40.3,36.5,28.9,28.8,56.7,41.1,40.3,42.1
27.23,94.12,90.0,0.716729999,270.0,4.6,13.3,19.4,16.0,26.1,0.0,0.0,15.2,0.0,1.0,0.2,0.0,0.0,0.0,89.2,29.6,8.9,6.7,13.8,6.2,18.2,42.2,15.0,11.2,3.4,2.9,0.9,0.3,0.4,14.7
